,category,city,star,count
0,Pizza,Phoenix,1,60
1,Mexican,Phoenix,1,128
2,Chinese,Phoenix,1,36
3,Italian,Phoenix,1,37
4,Vietnamese,Phoenix,1,7
5,Pizza,Phoenix,2,33
6,Mexican,Phoenix,2,58
7,Chinese,Phoenix,2,10
8,Italian,Phoenix,2,27
9,Vietnamese,Phoenix,2,5
10,Pizza,Phoenix,3,54
11,Mexican,Phoenix,3,80
12,Chinese,Phoenix,3,25
13,Italian,Phoenix,3,31
14,Vietnamese,Phoenix,3,6
15,Pizza,Phoenix,4,98
16,Mexican,Phoenix,4,164
17,Chinese,Phoenix,4,48
18,Italian,Phoenix,4,72
19,Vietnamese,Phoenix,4,12
20,Pizza,Phoenix,5,202
21,Mexican,Phoenix,5,324
22,Chinese,Phoenix,5,115
23,Italian,Phoenix,5,127
24,Vietnamese,Phoenix,5,20
25,Pizza,Madison,1,16
26,Mexican,Madison,1,18
27,Chinese,Madison,1,16
28,Italian,Madison,1,14
29,Vietnamese,Madison,1,1
30,Pizza,Madison,2,6
31,Mexican,Madison,2,6
32,Chinese,Madison,2,2
33,Italian,Madison,2,7
34,Vietnamese,Madison,2,0
35,Pizza,Madison,3,12
36,Mexican,Madison,3,11
37,Chinese,Madison,3,4
38,Italian,Madison,3,10
39,Vietnamese,Madison,3,1
40,Pizza,Madison,4,18
41,Mexican,Madison,4,24
42,Chinese,Madison,4,13
43,Italian,Madison,4,14
44,Vietnamese,Madison,4,3
45,Pizza,Madison,5,46
46,Mexican,Madison,5,43
47,Chinese,Madison,5,38
48,Italian,Madison,5,30
49,Vietnamese,Madison,5,6
50,Pizza,Pittsburgh,1,62
51,Mexican,Pittsburgh,1,19
52,Chinese,Pittsburgh,1,25
53,Italian,Pittsburgh,1,40
54,Vietnamese,Pittsburgh,1,2
55,Pizza,Pittsburgh,2,22
56,Mexican,Pittsburgh,2,10
57,Chinese,Pittsburgh,2,9
58,Italian,Pittsburgh,2,19
59,Vietnamese,Pittsburgh,2,1
60,Pizza,Pittsburgh,3,36
61,Mexican,Pittsburgh,3,21
62,Chinese,Pittsburgh,3,15
63,Italian,Pittsburgh,3,25
64,Vietnamese,Pittsburgh,3,1
65,Pizza,Pittsburgh,4,92
66,Mexican,Pittsburgh,4,28
67,Chinese,Pittsburgh,4,34
68,Italian,Pittsburgh,4,43
69,Vietnamese,Pittsburgh,4,3
70,Pizza,Pittsburgh,5,175
71,Mexican,Pittsburgh,5,60
72,Chinese,Pittsburgh,5,64
73,Italian,Pittsburgh,5,112
74,Vietnamese,Pittsburgh,5,7
75,Pizza,Las Vegas,1,128
76,Mexican,Las Vegas,1,120
77,Chinese,Las Vegas,1,58
78,Italian,Las Vegas,1,75
79,Vietnamese,Las Vegas,1,16
80,Pizza,Las Vegas,2,62
81,Mexican,Las Vegas,2,64
82,Chinese,Las Vegas,2,36
83,Italian,Las Vegas,2,38
84,Vietnamese,Las Vegas,2,5
85,Pizza,Las Vegas,3,63
86,Mexican,Las Vegas,3,82
87,Chinese,Las Vegas,3,48
88,Italian,Las Vegas,3,50
89,Vietnamese,Las Vegas,3,11
90,Pizza,Las Vegas,4,158
91,Mexican,Las Vegas,4,189
92,Chinese,Las Vegas,4,106
93,Italian,Las Vegas,4,95
94,Vietnamese,Las Vegas,4,20
95,Pizza,Las Vegas,5,275
96,Mexican,Las Vegas,5,375
97,Chinese,Las Vegas,5,227
98,Italian,Las Vegas,5,196
99,Vietnamese,Las Vegas,5,55
100,Pizza,Charlotte,1,38
101,Mexican,Charlotte,1,34
102,Chinese,Charlotte,1,26
103,Italian,Charlotte,1,31
104,Vietnamese,Charlotte,1,10
105,Pizza,Charlotte,2,22
106,Mexican,Charlotte,2,20
107,Chinese,Charlotte,2,16
108,Italian,Charlotte,2,11
109,Vietnamese,Charlotte,2,4
110,Pizza,Charlotte,3,30
111,Mexican,Charlotte,3,23
112,Chinese,Charlotte,3,13
113,Italian,Charlotte,3,17
114,Vietnamese,Charlotte,3,9
115,Pizza,Charlotte,4,66
116,Mexican,Charlotte,4,41
117,Chinese,Charlotte,4,29
118,Italian,Charlotte,4,32
119,Vietnamese,Charlotte,4,5
120,Pizza,Charlotte,5,108
121,Mexican,Charlotte,5,107
122,Chinese,Charlotte,5,79
123,Italian,Charlotte,5,73
124,Vietnamese,Charlotte,5,18
