id	rate
38017	2.0
38019	1.9
38021	1.8
38023	2.0
38025	2.2
38027	2.8
38029	3.1
38031	2.5
38033	2.4
38035	2.3
38037	2.1
38039	2.3
38041	2.9
38043	2.6
38045	2.0
38047	2.9
38049	4.1
38051	2.4
38053	3.1
38055	3.1
38057	4.5
38059	2.9
38061	2.9
38063	2.9
38065	5.3
38067	4.5
38069	3.0
38071	2.5
38073	1.9
38075	3.5
38077	2.7
38079	14.2
38081	1.6
38083	3.7
38085	5.3
38087	2.3
38089	3.3
38091	1.7
38093	2.1
38095	2.0
38097	2.7
38099	3.6
38101	3.5
38103	2.7
38105	3.7
39001	6.8
39003	4.6
39005	4.3
39007	5.3
39009	6.0
39011	3.5
39013	6.3
39015	5.0
39017	4.2
39019	6.0
39021	4.1
39023	4.7
39025	4.1
39027	5.4
39029	6.0
39031	6.2
39033	5.5
39035	5.5
39037	3.7
39039	4.3
39041	3.4
39043	4.6
39045	3.9
39047	3.9
39049	3.9
39051	4.0
39053	6.4
39055	4.4
39057	4.2
39059	5.8
39061	4.2
39063	3.5
39065	4.9
39067	6.4
39069	4.2
39071	5.5
39073	4.5
39075	3.3
39077	5.0
39079	7.0
39081	7.4
39083	4.1
39085	4.8
39087	6.1
39089	4.1
39091	3.9
39093	5.9
39095	4.9
39097	3.5
39099	5.8
39101	4.7
39103	4.3
39105	7.6
39107	3.0
39109	4.0
39111	9.1
39113	4.6
39115	6.8
39117	4.4
39119	5.3
39121	7.3
39123	4.6
39125	4.2
39127	5.5
39129	4.2
39131	6.8
39133	4.5
39135	4.3
39137	3.2
39139	4.9
39141	4.8
39143	4.1
39145	7.0
39147	4.4
39149	3.7
39151	4.9
39153	4.7
39155	6.0
39157	5.0
39159	3.5
39161	3.7
39163	5.9
39165	3.9
39167	6.4
39169	3.6
39171	4.1
39173	4.0
39175	3.4
40001	5.8
40003	3.6
40005	7.1
40007	3.2
40009	7.7
40011	3.7
40013	4.3
40015	5.6
40017	4.3
40019	5.4
40021	5.6
40023	8.3
40025	2.7
40027	4.0
40029	7.5
40031	4.8
40033	5.2
40035	4.9
40037	6.3
40039	4.9
40041	5.2
40043	4.1
40045	3.7
40047	4.5
40049	5.7
40051	5.2
40053	3.1
40055	7.9
40057	3.6
40059	4.3
40061	8.8
40063	7.5
40065	4.9
40067	8.0
40069	6.5
40071	6.7
40073	3.6
40075	5.6
40077	9.7
40079	7.4
40081	5.5
40083	4.3
40085	3.3
40087	4.3
40089	7.7
40091	9.5
40093	4.3
40095	5.1
40097	5.5
40099	4.3
40101	6.0
40103	4.0
40105	6.5
40107	6.1
40109	4.5
40111	7.4
40113	6.1
40115	5.3
40117	7.1
40119	3.9
40121	6.5
40123	4.2
40125	5.0
40127	7.7
40129	5.4
40131	5.6
40133	7.3
40135	6.5
40137	10.4
40139	3.5
40141	4.5
40143	5.2
40145	5.2
40147	5.0
40149	7.2
40151	3.3
40153	6.4
41001	6.7
41003	5.0
41005	5.2
41007	5.1
41009	7.1
41011	7.3
41013	6.9
41015	7.0
41017	5.1
41019	7.3
41021	7.1
41023	6.1
41025	5.9
41027	4.0
41029	6.8
41031	6.6
41033	7.4
41035	7.2
41037	5.7
41039	6.2
41041	5.9
41043	6.7
41045	6.1
41047	5.9
41049	5.8
41051	5.0
41053	6.0
41055	4.3
41057	5.2
41059	5.9
41061	6.3
41063	5.0
41065	5.9
41067	5.0
41069	4.9
41071	5.4
42001	4.5
42003	5.9
42005	8.0
42007	6.8
42009	5.8
42011	5.6
42013	5.7
42015	6.5
42017	5.2
42019	5.7
42021	7.7
42023	8.2
42025	6.7
42027	4.8
42029	4.6
42031	7.2
42033	7.5
42035	7.3
42037	6.2
42039	6.7
42041	4.7
42043	5.3
42045	5.6
42047	6.7
42049	7.1
42051	8.5
42053	8.5
42055	5.7
42057	6.3
42059	8.1
42061	7.1
42063	8.3
42065	7.3
42067	5.8
42069	6.4
42071	4.8
42073	7.0
42075	5.1
42077	6.3
42079	6.9
42081	7.0
42083	7.2
42085	6.8
42087	6.0
42089	6.9
42091	4.7
42093	4.9
42095	5.9
42097	6.6
42099	5.1
42101	7.7
42103	6.8
42105	7.8
42107	6.7
42109	5.1
42111	7.5
42113	7.0
42115	5.4
42117	7.4
42119	5.4
42121	8.0
42123	5.9
42125	6.6
42127	5.6
42129	6.6
42131	6.2
42133	5.2
44001	5.0
44003	5.3
44005	4.8
44007	6.3
44009	5.0
45001	6.1
45003	5.6
45005	9.1
45007	5.2
45009	11.4
45011	8.0
45013	5.1
45015	5.0
45017	7.4
45019	4.5
45021	6.6
45023	8.4
45025	5.7
45027	7.1
45029	5.8
45031	6.8
45033	7.1
45035	4.9
45037	6.1
45039	7.7
45041	5.8
45043	6.6
45045	4.7
45047	5.8
45049	6.2
45051	5.4
45053	4.7
45055	5.8
45057	6.0
45059	5.6
45061	8.2
45063	4.5
45065	5.8
45067	8.6
45069	9.1
45071	4.8
45073	5.5
45075	11.3
45077	5.6
45079	5.4
45081	4.8
45083	5.3
45085	6.5
45087	6.5
45089	7.9
45091	5.2
46003	1.9
46005	2.3
46007	4.0
46009	2.4
46011	2.5
46013	2.4
46015	2.5
46017	9.8
46019	2.9
46021	2.5
46023	3.0
46025	2.9
46027	2.7
46029	2.6
46031	5.5
46033	3.1
46035	1.9
46037	3.6
46039	3.2
46041	14.1
46043	2.2
46045	2.1
46047	3.8
46049	2.5
46051	2.5
46053	2.6
46055	2.1
46057	2.4
46059	1.9
46061	3.2
46063	2.1
46065	2.0
46067	2.0
46069	2.8
46071	2.8
46073	2.4
46075	2.4
46077	2.1
46079	3.0
46081	2.9
46083	1.8
46085	5.0
46087	2.1
46089	3.6
46091	2.8
46093	2.7
46095	3.8
46097	2.4
46099	2.2
46101	3.6
46102	13.2
46103	2.6
46105	2.8
46107	2.3
46109	3.3
46111	2.5
46115	2.6
46117	2.0
46119	1.9
46121	6.8
46123	1.9
46125	2.4
46127	2.9
46129	4.3
46135	2.3
46137	5.6
47001	5.1
47003	5.3
47005	7.4
47007	6.6
47009	4.5
47011	4.7
47013	6.7
47015	4.9
47017	7.1
47019	5.9
47021	4.0
47023	5.7
47025	6.4
47027	6.4
47029	6.0
47031	4.9
47033	5.2
47035	5.9
47037	3.8
47039	7.3
47041	5.8
47043	4.4
47045	6.1
47047	5.3
47049	6.0
47051	5.7
47053	6.2
47055	4.3
47057	5.4
47059	5.8
47061	6.6
47063	5.3
47065	5.0
47067	8.0
47069	6.2
47071	6.2
47073	5.5
47075	6.5
47077	7.0
47079	6.0
47081	4.6
47083	7.7
47085	6.2
47087	7.3
47089	5.4
47091	4.9
47093	4.3
47095	7.3
47097	7.8
47099	5.9
47101	5.8
47103	4.4
47105	4.8
47107	5.8
47109	7.4
47111	4.5
47113	5.3
47115	6.7
47117	4.8
47119	4.2
47121	7.2
47123	5.5
47125	5.5
47127	4.2
47129	6.6
47131	7.5
47133	5.6
47135	6.2
47137	5.7
47139	5.8
47141	5.2
47143	7.5
47145	5.8
47147	4.4
47149	4.0
47151	7.4
47153	6.1
47155	4.2
47157	5.8
47159	4.6
47161	6.8
47163	5.5
47165	4.1
47167	5.9
47169	4.9
47171	6.9
47173	5.9
47175	5.8
47177	4.8
47179	5.1
